FormCode	Subtype	ProcessingCenter	ExpectedProcessingTime	ServiceRequestDate	UpdatedByUSCIS
I-102	Initial issuance or replacement of a Form I-94	CALIFORNIA	4 Months - 10 Months	September 09, 2019	June 24, 2020
I-102	Initial issuance or replacement of a Form I-94	NATIONAL	4 Months - 10 Months	September 09, 2019	June 24, 2020
I-102	Initial issuance or replacement of a Form I-94	NEBRASKA	4 Months - 10 Months	September 09, 2019	June 24, 2020
I-102	Initial issuance or replacement of a Form I-94	TEXAS	4 Months - 10 Months	September 09, 2019	June 24, 2020
I-102	Initial issuance or replacement of a Form I-94	VERMONT	4 Months - 10 Months	September 09, 2019	June 24, 2020
I-129	Blanket L	CALIFORNIA	1.5 Months - 4 Months	February 27, 2020	June 24, 2020
I-129	Blanket L	VERMONT	1.5 Months - 4 Months	February 27, 2020	June 24, 2020
I-129	E - Treaty traders and investors	CALIFORNIA	2.5 Months - 4.5 Months	February 25, 2020	June 24, 2020
I-129	E3 - Certain specialty ...essionals from Australia	VERMONT	5.5 Months - 7.5 Months	November 17, 2019	June 24, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	CALIFORNIA	14.5 Months - 18.5 Months	December 19, 2018	June 24, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	TEXAS	4 Months - 6 Months	January 05, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	VERMONT	2 Months - 4 Months	February 27, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	CALIFORNIA	14.5 Months - 18.5 Months	December 19, 2018	June 24, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	TEXAS	4 Months - 6 Months	January 05, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	VERMONT	2 Months - 4 Months	February 27, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	CALIFORNIA	14.5 Months - 18.5 Months	December 19, 2018	June 24, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	NEBRASKA	2 Months - 4 Months	February 27, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	TEXAS	4 Months - 6 Months	January 05, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	VERMONT	6 Months - 8 Months	November 10, 2019	June 24, 2020
I-129	H-2A - Temporary workers	CALIFORNIA	2 Weeks - 2.5 Months	June 11, 2020	June 24, 2020
I-129	H-2B - Other temporary workers	CALIFORNIA	1.5 Months - 3 Months	March 27, 2020	June 24, 2020
I-129	H-2B - Other temporary workers	VERMONT	1 Month - 3 Months	March 28, 2020	June 24, 2020
I-129	H-3 - Temporary trainees	CALIFORNIA	2.5 Months - 4.5 Months	February 25, 2020	June 24, 2020
I-129	H-3 - Temporary trainees	VERMONT	4.5 Months - 6.5 Months	December 15, 2019	June 24, 2020
I-129	L - Intracompany transfers	CALIFORNIA	1.5 Months - 3 Months	March 27, 2020	June 24, 2020
I-129	L - Intracompany transfers	TEXAS	4 Months - 6 Months	January 05, 2020	June 24, 2020
I-129	L - Intracompany transfers	VERMONT	1.5 Months - 3.5 Months	March 15, 2020	June 24, 2020
I-129	O - Extraordinary ability	CALIFORNIA	3 Weeks - 2.5 Months	April 11, 2020	June 24, 2020
