FormCode	Subtype	ProcessingCenter	ExpectedProcessingTime	ServiceRequestDate	UpdatedByUSCIS
I-102	Initial issuance or replacement of a Form I-94	CALIFORNIA	4 Months - 10 Months	September 19, 2019	June 24, 2020
I-102	Initial issuance or replacement of a Form I-94	NATIONAL	4 Months - 10 Months	September 19, 2019	June 24, 2020
I-102	Initial issuance or replacement of a Form I-94	NEBRASKA	4 Months - 10 Months	September 19, 2019	June 24, 2020
I-102	Initial issuance or replacement of a Form I-94	TEXAS	4 Months - 10 Months	September 19, 2019	June 24, 2020
I-102	Initial issuance or replacement of a Form I-94	VERMONT	4 Months - 10 Months	September 19, 2019	June 24, 2020
I-129	Blanket L	CALIFORNIA	1.5 Months - 4 Months	March 08, 2020	June 24, 2020
I-129	Blanket L	VERMONT	1.5 Months - 4 Months	March 08, 2020	June 24, 2020
I-129	E - Treaty traders and investors	CALIFORNIA	2.5 Months - 4.5 Months	March 06, 2020	June 24, 2020
I-129	E3 - Certain specialty ...essionals from Australia	VERMONT	5.5 Months - 7.5 Months	November 27, 2019	June 24, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	CALIFORNIA	14.5 Months - 18.5 Months	December 29, 2018	June 24, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	TEXAS	4 Months - 6 Months	January 15, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	VERMONT	2 Months - 4 Months	March 08, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	CALIFORNIA	14.5 Months - 18.5 Months	December 29, 2018	June 24, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	TEXAS	4 Months - 6 Months	January 15, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	VERMONT	2 Months - 4 Months	March 08, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	CALIFORNIA	14.5 Months - 18.5 Months	December 29, 2018	June 24, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	NEBRASKA	2 Months - 4 Months	March 08, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	TEXAS	4 Months - 6 Months	January 15, 2020	June 24, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	VERMONT	6 Months - 8 Months	November 20, 2019	June 24, 2020
I-129	H-2A - Temporary workers	CALIFORNIA	2 Weeks - 2.5 Months	June 21, 2020	June 24, 2020
I-129	H-2B - Other temporary workers	CALIFORNIA	1.5 Months - 3 Months	April 06, 2020	June 24, 2020
I-129	H-2B - Other temporary workers	VERMONT	1 Month - 3 Months	April 07, 2020	June 24, 2020
I-129	H-3 - Temporary trainees	CALIFORNIA	2.5 Months - 4.5 Months	March 06, 2020	June 24, 2020
I-129	H-3 - Temporary trainees	VERMONT	4.5 Months - 6.5 Months	December 25, 2019	June 24, 2020
I-129	L - Intracompany transfers	CALIFORNIA	1.5 Months - 3 Months	April 06, 2020	June 24, 2020
I-129	L - Intracompany transfers	TEXAS	4 Months - 6 Months	January 15, 2020	June 24, 2020
I-129	L - Intracompany transfers	VERMONT	1.5 Months - 3.5 Months	March 25, 2020	June 24, 2020
I-129	O - Extraordinary ability	CALIFORNIA	3 Weeks - 2.5 Months	April 21, 2020	June 24, 2020
I-129	O - Extraordinary ability	VERMONT	3 Weeks - 2.5 Months	April 22, 2020	June 24, 2020
I-129	P - Athletes, artists, and entertainers	CALIFORNIA	3 Weeks - 2.5 Months	April 21, 2020	June 24, 2020
I-129	P - Athletes, artists, and entertainers	VERMONT	3 Weeks - 2.5 Months	April 22, 2020	June 24, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	CALIFORNIA	2.5 Months - 4.5 Months	March 06, 2020	June 24, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	VERMONT	2 Months - 4 Months	March 08, 2020	June 24, 2020
I-129	R - Religious occupation	CALIFORNIA	5.5 Months - 7.5 Months	December 05, 2019	June 24, 2020
I-129	R - Religious occupation	VERMONT	2 Months - 7 Months	December 09, 2019	June 24, 2020
I-129	TN - North American Fre...ent (NAFTA) professional	VERMONT	2 Months - 4 Months	March 08, 2020	June 24, 2020
I-129CW	CW-1 - CNMI-Only Nonimmigrant Transitional Worker	CALIFORNIA	3.5 Months - 5.5 Months	February 04, 2020	June 24, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	CALIFORNIA	5 Months - 7 Months	December 07, 2019	June 24, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	VERMONT	13.5 Months - 17.5 Months	January 24, 2019	June 24, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	CALIFORNIA	5 Months - 7 Months	December 07, 2019	June 24, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	NEBRASKA	6.5 Months - 8.5 Months	November 04, 2019	June 24, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	POTOMAC	5 Months - 7 Months	December 09, 2019	June 24, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	TEXAS	4 Months - 7 Months	December 09, 2019	June 24, 2020
I-130	Permanent resident fili... son or daughter over 21	CALIFORNIA	50.5 Months - 65.5 Months	February 01, 2015	June 24, 2020
I-130	Permanent resident fili... son or daughter over 21	NEBRASKA	18 Months - 23.5 Months	July 26, 2018	June 24, 2020
I-130	Permanent resident fili... son or daughter over 21	POTOMAC	9 Months - 11.5 Months	July 23, 2019	June 24, 2020
I-130	Permanent resident fili... son or daughter over 21	TEXAS	4 Weeks - 7 Months	December 09, 2019	June 24, 2020
I-130	Permanent resident fili... son or daughter over 21	VERMONT	53 Months - 69 Months	October 21, 2014	June 24, 2020
I-130	Permanent resident fili...spouse or child under 21	CALIFORNIA	10.5 Months - 13.5 Months	June 03, 2019	June 24, 2020
I-130	Permanent resident fili...spouse or child under 21	NEBRASKA	18 Months - 23.5 Months	July 26, 2018	June 24, 2020
I-130	Permanent resident fili...spouse or child under 21	POTOMAC	9 Months - 11.5 Months	July 23, 2019	June 24, 2020
I-130	Permanent resident fili...spouse or child under 21	TEXAS	4 Weeks - 7 Months	December 09, 2019	June 24, 2020
I-130	Permanent resident fili...spouse or child under 21	VERMONT	15.5 Months - 20 Months	November 13, 2018	June 24, 2020
I-130	U.S. citizen filing for a brother or sister	CALIFORNIA	106.5 Months - 138.5 Months	January 01, 2009	June 24, 2020
I-130	U.S. citizen filing for a brother or sister	NEBRASKA	10.5 Months - 13.5 Months	June 03, 2019	June 24, 2020
I-130	U.S. citizen filing for a brother or sister	POTOMAC	9 Months - 11.5 Months	July 23, 2019	June 24, 2020
I-130	U.S. citizen filing for a brother or sister	TEXAS	6 Months - 8 Months	November 15, 2019	June 24, 2020
I-130	U.S. citizen filing for a brother or sister	VERMONT	101 Months - 131.5 Months	August 06, 2009	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	29 Months - 37.5 Months	June 04, 2017	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	93 Months - 121 Months	June 18, 2010	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	NEBRASKA	10.5 Months - 13.5 Months	June 03, 2019	June 24, 2020
