FormCode	Subtype	ProcessingCenter	ExpectedProcessingTime	ServiceRequestDate	UpdatedByUSCIS
I-102	Initial issuance or replacement of a Form I-94	CALIFORNIA	8 Months - 16 Months	July 23, 2019	October 28, 2020
I-102	Initial issuance or replacement of a Form I-94	NATIONAL	8 Months - 16 Months	July 23, 2019	October 28, 2020
I-102	Initial issuance or replacement of a Form I-94	NEBRASKA	8 Months - 16 Months	July 23, 2019	October 28, 2020
I-102	Initial issuance or replacement of a Form I-94	TEXAS	8 Months - 16 Months	July 23, 2019	October 28, 2020
I-102	Initial issuance or replacement of a Form I-94	VERMONT	8 Months - 16 Months	July 23, 2019	October 28, 2020
I-129	Blanket L	CALIFORNIA	5 Weeks - 4 Months	July 10, 2020	October 28, 2020
I-129	Blanket L	VERMONT	2 Months - 4 Months	July 10, 2020	October 28, 2020
I-129	E - Treaty traders and investors	CALIFORNIA	2.5 Months - 4.5 Months	June 28, 2020	October 28, 2020
I-129	E3 - Certain specialty ...essionals from Australia	VERMONT	2.5 Months - 4.5 Months	June 27, 2020	October 28, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	CALIFORNIA	4 Months - 6 Months	May 10, 2020	October 28, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	TEXAS	4.5 Months - 6 Months	May 09, 2020	October 28, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	VERMONT	2.5 Months - 4.5 Months	June 27, 2020	October 28, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	CALIFORNIA	4 Months - 6 Months	May 10, 2020	October 28, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	TEXAS	4.5 Months - 6 Months	May 09, 2020	October 28, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	VERMONT	2.5 Months - 4.5 Months	June 27, 2020	October 28, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	CALIFORNIA	4 Months - 6 Months	May 10, 2020	October 28, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	NEBRASKA	2 Months - 4 Months	July 10, 2020	October 28, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	TEXAS	4.5 Months - 6 Months	May 09, 2020	October 28, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	VERMONT	3 Months - 5 Months	June 20, 2020	October 28, 2020
I-129	H-2A - Temporary workers	CALIFORNIA	2 Weeks - 2.5 Months	October 23, 2020	October 28, 2020
I-129	H-2B - Other temporary workers	CALIFORNIA	5 Weeks - 3 Months	August 09, 2020	October 28, 2020
I-129	H-2B - Other temporary workers	VERMONT	2.5 Months - 4.5 Months	July 04, 2020	October 28, 2020
I-129	H-3 - Temporary trainees	CALIFORNIA	2 Months - 4 Months	July 10, 2020	October 28, 2020
I-129	H-3 - Temporary trainees	VERMONT	5.5 Months - 7.5 Months	April 04, 2020	October 28, 2020
I-129	L - Intracompany transfers	CALIFORNIA	1.5 Months - 3.5 Months	August 06, 2020	October 28, 2020
I-129	L - Intracompany transfers	TEXAS	4.5 Months - 6 Months	May 09, 2020	October 28, 2020
I-129	L - Intracompany transfers	VERMONT	2 Months - 4 Months	July 10, 2020	October 28, 2020
I-129	O - Extraordinary ability	CALIFORNIA	2 Weeks - 2.5 Months	August 25, 2020	October 28, 2020
I-129	O - Extraordinary ability	VERMONT	4 Weeks - 3 Months	August 15, 2020	October 28, 2020
I-129	P - Athletes, artists, and entertainers	CALIFORNIA	2 Weeks - 2.5 Months	August 25, 2020	October 28, 2020
I-129	P - Athletes, artists, and entertainers	VERMONT	4 Weeks - 3 Months	August 15, 2020	October 28, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	CALIFORNIA	2 Months - 4 Months	July 10, 2020	October 28, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	VERMONT	2 Months - 4 Months	July 10, 2020	October 28, 2020
I-129	R - Religious occupation	CALIFORNIA	5 Months - 7 Months	April 10, 2020	October 28, 2020
I-129	R - Religious occupation	VERMONT	2 Months - 7 Months	April 11, 2020	October 28, 2020
I-129	TN - North American Fre...ent (NAFTA) professional	VERMONT	3 Months - 5 Months	June 20, 2020	October 28, 2020
I-129CW	CW-1 - CNMI-Only Nonimmigrant Transitional Worker	CALIFORNIA	3 Months - 5 Months	June 10, 2020	October 28, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	CALIFORNIA	5 Months - 7 Months	April 10, 2020	October 28, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	VERMONT	17.5 Months - 23 Months	December 22, 2018	October 28, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	CALIFORNIA	5 Months - 7 Months	April 10, 2020	October 28, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	NEBRASKA	6.5 Months - 8.5 Months	February 29, 2020	October 28, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	POTOMAC	5 Months - 7 Months	April 11, 2020	October 28, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	TEXAS	5.5 Months - 7.5 Months	March 27, 2020	October 28, 2020
I-130	Permanent resident fili... son or daughter over 21	CALIFORNIA	59 Months - 77 Months	June 20, 2014	October 28, 2020
I-130	Permanent resident fili... son or daughter over 21	NEBRASKA	7 Months - 9 Months	February 12, 2020	October 28, 2020
I-130	Permanent resident fili... son or daughter over 21	POTOMAC	19 Months - 24.5 Months	October 26, 2018	October 28, 2020
I-130	Permanent resident fili... son or daughter over 21	TEXAS	1 Week - 7 Months	April 11, 2020	October 28, 2020
I-130	Permanent resident fili... son or daughter over 21	VERMONT	53.5 Months - 70 Months	January 23, 2015	October 28, 2020
I-130	Permanent resident fili...spouse or child under 21	CALIFORNIA	14.5 Months - 19 Months	April 25, 2019	October 28, 2020
I-130	Permanent resident fili...spouse or child under 21	NEBRASKA	7 Months - 9 Months	February 12, 2020	October 28, 2020
I-130	Permanent resident fili...spouse or child under 21	POTOMAC	19 Months - 24.5 Months	October 26, 2018	October 28, 2020
I-130	Permanent resident fili...spouse or child under 21	TEXAS	1 Week - 7 Months	April 11, 2020	October 28, 2020
I-130	Permanent resident fili...spouse or child under 21	VERMONT	12.5 Months - 16 Months	July 19, 2019	October 28, 2020
I-130	U.S. citizen filing for a brother or sister	CALIFORNIA	110.5 Months - 143.5 Months	November 29, 2008	October 28, 2020
I-130	U.S. citizen filing for a brother or sister	NEBRASKA	6.5 Months - 8.5 Months	February 28, 2020	October 28, 2020
I-130	U.S. citizen filing for a brother or sister	POTOMAC	19 Months - 24.5 Months	October 26, 2018	October 28, 2020
I-130	U.S. citizen filing for a brother or sister	TEXAS	7 Months - 9 Months	February 15, 2020	October 28, 2020
I-130	U.S. citizen filing for a brother or sister	VERMONT	93 Months - 121 Months	October 20, 2010	October 28, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	44 Months - 57 Months	February 12, 2016	October 28, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	98.5 Months - 127.5 Months	March 29, 2010	October 28, 2020
I-130	U.S. citizen filing for... son or daughter over 21	NEBRASKA	6.5 Months - 8.5 Months	February 28, 2020	October 28, 2020
I-130	U.S. citizen filing for... son or daughter over 21	NEBRASKA	6.5 Months - 8.5 Months	February 28, 2020	October 28, 2020
I-130	U.S. citizen filing for... son or daughter over 21	POTOMAC	19 Months - 24.5 Months	October 26, 2018	October 28, 2020
I-130	U.S. citizen filing for... son or daughter over 21	POTOMAC	19 Months - 24.5 Months	October 26, 2018	October 28, 2020
I-130	U.S. citizen filing for... son or daughter over 21	TEXAS	7 Months - 9 Months	February 15, 2020	October 28, 2020
