FormCode	Subtype	ProcessingCenter	ExpectedProcessingTime	ServiceRequestDate	UpdatedByUSCIS
I-102	Initial issuance or replacement of a Form I-94	CALIFORNIA	5 Months - 15.5 Months	March 08, 2019	May 08, 2020
I-102	Initial issuance or replacement of a Form I-94	NATIONAL	5 Months - 15.5 Months	March 08, 2019	May 08, 2020
I-102	Initial issuance or replacement of a Form I-94	NEBRASKA	5 Months - 15.5 Months	March 08, 2019	May 08, 2020
I-102	Initial issuance or replacement of a Form I-94	TEXAS	5 Months - 15.5 Months	March 08, 2019	May 08, 2020
I-102	Initial issuance or replacement of a Form I-94	VERMONT	5 Months - 15.5 Months	March 08, 2019	May 08, 2020
I-129	Blanket L	CALIFORNIA	1.5 Months - 4 Months	February 10, 2020	May 08, 2020
I-129	Blanket L	VERMONT	4 Weeks - 4 Months	February 10, 2020	May 08, 2020
I-129	E - Treaty traders and investors	CALIFORNIA	2.5 Months - 4 Months	February 09, 2020	May 08, 2020
I-129	E3 - Certain specialty ...essionals from Australia	VERMONT	4.5 Months - 6.5 Months	December 09, 2019	May 08, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	CALIFORNIA	2.5 Months - 4 Months	February 09, 2020	May 08, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	TEXAS	2 Months - 4 Months	February 10, 2020	May 08, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	VERMONT	9.5 Months - 12 Months	June 15, 2019	May 08, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	CALIFORNIA	2.5 Months - 4 Months	February 09, 2020	May 08, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	TEXAS	2 Months - 4 Months	February 10, 2020	May 08, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	VERMONT	9.5 Months - 12 Months	June 15, 2019	May 08, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	CALIFORNIA	2.5 Months - 4 Months	February 09, 2020	May 08, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	NEBRASKA	2.5 Months - 4 Months	February 09, 2020	May 08, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	TEXAS	2 Months - 4 Months	February 10, 2020	May 08, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	VERMONT	6.5 Months - 8.5 Months	October 07, 2019	May 08, 2020
I-129	H-2A - Temporary workers	CALIFORNIA	1.5 Months - 3 Months	May 25, 2020	May 08, 2020
I-129	H-2B - Other temporary workers	CALIFORNIA	2.5 Months - 4 Months	February 09, 2020	May 08, 2020
I-129	H-2B - Other temporary workers	VERMONT	4 Weeks - 3 Months	March 11, 2020	May 08, 2020
I-129	H-3 - Temporary trainees	CALIFORNIA	6 Months - 7.5 Months	October 25, 2019	May 08, 2020
I-129	H-3 - Temporary trainees	VERMONT	2.5 Months - 4.5 Months	January 27, 2020	May 08, 2020
I-129	L - Intracompany transfers	CALIFORNIA	3 Months - 5 Months	January 15, 2020	May 08, 2020
I-129	L - Intracompany transfers	TEXAS	5 Weeks - 3 Months	March 11, 2020	May 08, 2020
I-129	L - Intracompany transfers	VERMONT	4 Weeks - 3 Months	March 11, 2020	May 08, 2020
I-129	O - Extraordinary ability	CALIFORNIA	5.5 Months - 7.5 Months	October 31, 2019	May 08, 2020
I-129	O - Extraordinary ability	VERMONT	2 Months - 4 Months	February 17, 2020	May 08, 2020
I-129	P - Athletes, artists, and entertainers	CALIFORNIA	5.5 Months - 7.5 Months	October 31, 2019	May 08, 2020
I-129	P - Athletes, artists, and entertainers	VERMONT	2 Months - 4 Months	February 17, 2020	May 08, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	CALIFORNIA	2.5 Months - 4 Months	February 09, 2020	May 08, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	VERMONT	5.5 Months - 7.5 Months	November 04, 2019	May 08, 2020
I-129	R - Religious occupation	CALIFORNIA	7 Months - 9 Months	September 24, 2019	May 08, 2020
I-129	R - Religious occupation	VERMONT	5.5 Months - 7.5 Months	November 04, 2019	May 08, 2020
I-129	TN - North American Fre...ent (NAFTA) professional	VERMONT	2 Months - 4 Months	February 10, 2020	May 08, 2020
I-129CW	CW-1 - CNMI-Only Nonimmigrant Transitional Worker	CALIFORNIA	3 Months - 5 Months	January 10, 2020	May 08, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	CALIFORNIA	5 Months - 7 Months	November 10, 2019	May 08, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	VERMONT	17 Months - 22.5 Months	August 10, 2018	May 08, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	CALIFORNIA	5 Months - 7 Months	November 10, 2019	May 08, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	NEBRASKA	7.5 Months - 9.5 Months	August 28, 2019	May 08, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	POTOMAC	16 Months - 20.5 Months	October 02, 2018	May 08, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	TEXAS	3 Months - 7 Months	November 12, 2019	May 08, 2020
I-130	Permanent resident fili... son or daughter over 21	CALIFORNIA	53.5 Months - 69.5 Months	September 03, 2014	May 08, 2020
I-130	Permanent resident fili... son or daughter over 21	NEBRASKA	20.5 Months - 26.5 Months	April 06, 2018	May 08, 2020
I-130	Permanent resident fili... son or daughter over 21	POTOMAC	1 Week - 7 Months	November 12, 2019	May 08, 2020
I-130	Permanent resident fili... son or daughter over 21	TEXAS	5 Months - 7 Months	November 12, 2019	May 08, 2020
I-130	Permanent resident fili... son or daughter over 21	VERMONT	56.5 Months - 73.5 Months	May 07, 2014	May 08, 2020
I-130	Permanent resident fili...spouse or child under 21	CALIFORNIA	8.5 Months - 11 Months	July 24, 2019	May 08, 2020
I-130	Permanent resident fili...spouse or child under 21	NEBRASKA	20.5 Months - 26.5 Months	April 06, 2018	May 08, 2020
I-130	Permanent resident fili...spouse or child under 21	POTOMAC	1 Week - 7 Months	November 12, 2019	May 08, 2020
I-130	Permanent resident fili...spouse or child under 21	TEXAS	5 Months - 7 Months	November 12, 2019	May 08, 2020
I-130	Permanent resident fili...spouse or child under 21	VERMONT	17 Months - 22.5 Months	August 10, 2018	May 08, 2020
I-130	U.S. citizen filing for a brother or sister	CALIFORNIA	104.5 Months - 136 Months	February 21, 2009	May 08, 2020
I-130	U.S. citizen filing for a brother or sister	NEBRASKA	12.5 Months - 16 Months	February 17, 2019	May 08, 2020
I-130	U.S. citizen filing for a brother or sister	POTOMAC	7 Months - 9 Months	September 14, 2019	May 08, 2020
I-130	U.S. citizen filing for a brother or sister	TEXAS	5 Months - 7 Months	November 12, 2019	May 08, 2020
I-130	U.S. citizen filing for a brother or sister	VERMONT	99 Months - 129 Months	September 26, 2009	May 08, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	56.5 Months - 73.5 Months	May 09, 2014	May 08, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	92.5 Months - 120 Months	June 15, 2010	May 08, 2020
I-130	U.S. citizen filing for... son or daughter over 21	NEBRASKA	12.5 Months - 16 Months	February 17, 2019	May 08, 2020
I-130	U.S. citizen filing for... son or daughter over 21	NEBRASKA	12.5 Months - 16 Months	February 17, 2019	May 08, 2020
I-130	U.S. citizen filing for... son or daughter over 21	POTOMAC	7 Months - 9 Months	September 14, 2019	May 08, 2020
I-130	U.S. citizen filing for... son or daughter over 21	POTOMAC	7 Months - 9 Months	September 14, 2019	May 08, 2020
I-130	U.S. citizen filing for... son or daughter over 21	TEXAS	5 Months - 7 Months	November 12, 2019	May 08, 2020
I-130	U.S. citizen filing for... son or daughter over 21	TEXAS	5 Months - 7 Months	November 12, 2019	May 08, 2020
I-130	U.S. citizen filing for... son or daughter over 21	VERMONT	58.5 Months - 76 Months	February 14, 2014	May 08, 2020
I-130	U.S. citizen filing for... son or daughter over 21	VERMONT	88 Months - 114 Months	December 16, 2010	May 08, 2020
I-130	U.S. citizen filing for...arent, or child under 21	NEBRASKA	12.5 Months - 16 Months	February 17, 2019	May 08, 2020
I-130	U.S. citizen filing for...arent, or child under 21	POTOMAC	7 Months - 9 Months	September 14, 2019	May 08, 2020
I-130	U.S. citizen filing for...arent, or child under 21	TEXAS	5 Months - 7 Months	November 12, 2019	May 08, 2020
I-130	U.S. citizen filing for...arent, or child under 21	VERMONT	17.5 Months - 22.5 Months	August 01, 2018	May 08, 2020
I-131	All other applicants for advance parole	CALIFORNIA	3 Months - 5 Months	January 10, 2020	May 08, 2020
I-131	All other applicants for advance parole	NATIONAL	6 Months - 8 Months	October 11, 2019	May 08, 2020
I-131	All other applicants for advance parole	NEBRASKA	5 Months - 7 Months	November 11, 2019	May 08, 2020
I-131	All other applicants for advance parole	TEXAS	3 Months - 5 Months	January 11, 2020	May 08, 2020
I-131	All other applicants for advance parole	VERMONT	5 Months - 7 Months	November 18, 2019	May 08, 2020
I-131	Haitian Refugee Immigra...lying for advance parole	NEBRASKA	5 Months - 7 Months	November 11, 2019	May 08, 2020
I-131	Haitian Refugee Immigra...lying for advance parole	NEBRASKA	5 Months - 7 Months	November 11, 2019	May 08, 2020
I-131	Haitian Refugee Immigra...lying for advance parole	TEXAS	3 Months - 5 Months	January 11, 2020	May 08, 2020
I-131	Haitian Refugee Immigra...lying for advance parole	TEXAS	3 Months - 5 Months	January 11, 2020	May 08, 2020
I-131	Permanent resident applying for a re-entry permit	NEBRASKA	4 Months - 6 Months	December 24, 2019	May 08, 2020
I-131	Permanent resident applying for a re-entry permit	TEXAS	3 Weeks - 5 Months	January 11, 2020	May 08, 2020
I-131	Refugee or asylee apply... refugee travel document	NEBRASKA	4 Months - 6 Months	December 24, 2019	May 08, 2020
I-131	Refugee or asylee apply... refugee travel document	TEXAS	3 Weeks - 5 Months	January 11, 2020	May 08, 2020
I-140	Advanced degree or exce...al Interest Waiver (NIW)	NEBRASKA	6 Months - 7.5 Months	October 25, 2019	May 08, 2020
I-140	Advanced degree or exce...al Interest Waiver (NIW)	TEXAS	4 Months - 6 Months	December 12, 2019	May 08, 2020
I-140	Advanced degree or exceptional ability (E21)	NEBRASKA	5.5 Months - 7.5 Months	November 09, 2019	May 08, 2020
I-140	Advanced degree or exceptional ability (E21)	TEXAS	4 Months - 6 Months	December 12, 2019	May 08, 2020
I-140	Extraordinary ability (E11)	NEBRASKA	5.5 Months - 7.5 Months	November 09, 2019	May 08, 2020
I-140	Extraordinary ability (E11)	TEXAS	4 Months - 6 Months	December 12, 2019	May 08, 2020
I-140	Multinational executive or manager (E13)	NEBRASKA	5.5 Months - 7.5 Months	November 09, 2019	May 08, 2020
I-140	Multinational executive or manager (E13)	TEXAS	4 Months - 6 Months	December 12, 2019	May 08, 2020
I-140	Outstanding professor or researcher (E12)	NEBRASKA	5.5 Months - 7.5 Months	November 09, 2019	May 08, 2020
I-140	Outstanding professor or researcher (E12)	TEXAS	4 Months - 6 Months	December 12, 2019	May 08, 2020
I-140	Schedule A Nurses	NEBRASKA	5.5 Months - 7.5 Months	November 09, 2019	May 08, 2020
I-140	Schedule A Nurses	TEXAS	4 Months - 6 Months	December 12, 2019	May 08, 2020
I-140	Skilled worker or professional (E31; E32)	NEBRASKA	5.5 Months - 7.5 Months	November 09, 2019	May 08, 2020
I-140	Skilled worker or professional (E31; E32)	TEXAS	4 Months - 6 Months	December 12, 2019	May 08, 2020
I-140	Unskilled worker (EW3)	NEBRASKA	5.5 Months - 7.5 Months	November 09, 2019	May 08, 2020
I-140	Unskilled worker (EW3)	TEXAS	4 Months - 6 Months	December 12, 2019	May 08, 2020
I-212	Readmission after deportation or removal	NEBRASKA	6 Months - 7.5 Months	October 25, 2019	May 08, 2020
I-360	All other special immigrants	CALIFORNIA	6.5 Months - 8 Months	October 10, 2019	May 08, 2020
I-360	All other special immigrants	NEBRASKA	3.5 Months - 7 Months	November 12, 2019	May 08, 2020
I-360	All other special immigrants	VERMONT	11.5 Months - 15 Months	March 16, 2019	May 08, 2020
I-360	Violence Against Women Act (VAWA)	VERMONT	18.5 Months - 24 Months	June 25, 2018	May 08, 2020
I-485	Based on an approved T Visa	VERMONT	16.5 Months - 20 Months	October 19, 2018	May 08, 2020
I-485	Based on an approved U Visa	VERMONT	10 Months - 20.5 Months	October 02, 2018	May 08, 2020
I-485	Based on grant of asylum more than 1 year ago	NEBRASKA	7 Months - 31 Months	November 22, 2017	May 08, 2020
I-485	Based on grant of asylum more than 1 year ago	TEXAS	7 Months - 31 Months	November 22, 2017	May 08, 2020
I-485	Based on refugee admission more than 1 year ago	NEBRASKA	9.5 Months - 13.5 Months	April 30, 2019	May 08, 2020
I-485	Employment-based adjustment applications	CALIFORNIA	8.5 Months - 27.5 Months	February 25, 2018	May 08, 2020
I-485	Employment-based adjustment applications	NEBRASKA	8.5 Months - 27.5 Months	February 25, 2018	May 08, 2020
I-485	Employment-based adjustment applications	TEXAS	8.5 Months - 27.5 Months	February 25, 2018	May 08, 2020
I-485	Under HRIFA, Indochines...ly Equity Act, or NACARA	NEBRASKA	14.5 Months - 64 Months	February 15, 2015	May 08, 2020
I-539	All other change-of-status applications	CALIFORNIA	9 Months - 11.5 Months	July 01, 2019	May 08, 2020
I-539	All other change-of-status applications	POTOMAC	4 Months - 6 Months	December 15, 2019	May 08, 2020
I-539	All other change-of-status applications	TEXAS	7 Months - 9 Months	September 21, 2019	May 08, 2020
I-539	All other change-of-status applications	VERMONT	6 Months - 8 Months	October 14, 2019	May 08, 2020
I-539	All other extension applications	CALIFORNIA	10 Months - 13 Months	May 20, 2019	May 08, 2020
I-539	All other extension applications	NATIONAL	2.5 Months - 4.5 Months	January 25, 2020	May 08, 2020
I-539	All other extension applications	POTOMAC	4 Months - 6 Months	December 15, 2019	May 08, 2020
I-539	All other extension applications	TEXAS	7 Months - 9 Months	September 21, 2019	May 08, 2020
I-539	All other extension applications	VERMONT	6 Months - 8 Months	October 14, 2019	May 08, 2020
I-539	Change Status to the J exchange visitor category	CALIFORNIA	2.5 Months - 4.5 Months	January 25, 2020	May 08, 2020
I-539	Change Status to the J exchange visitor category	POTOMAC	4 Months - 6 Months	December 15, 2019	May 08, 2020
I-539	Change Status to the J exchange visitor category	TEXAS	7 Months - 9 Months	September 21, 2019	May 08, 2020
I-539	Change Status to the J exchange visitor category	VERMONT	6 Months - 8 Months	October 14, 2019	May 08, 2020
I-539	Change of status to H dependents	CALIFORNIA	10 Months - 13 Months	May 24, 2019	May 08, 2020
I-539	Change of status to H dependents	TEXAS	7 Months - 9 Months	September 21, 2019	May 08, 2020
I-539	Change of status to H or L dependents	NEBRASKA	5.5 Months - 7.5 Months	November 04, 2019	May 08, 2020
I-539	Change of status to H or L dependents	VERMONT	6 Months - 8 Months	October 14, 2019	May 08, 2020
I-539	Change of status to L dependents	CALIFORNIA	4.5 Months - 6.5 Months	November 29, 2019	May 08, 2020
I-539	Change of status to L dependents	TEXAS	7 Months - 9 Months	September 21, 2019	May 08, 2020
I-539	Change status to the F ...ional student categories	CALIFORNIA	4.5 Months - 6 Months	December 10, 2019	May 08, 2020
I-539	Change status to the F ...ional student categories	POTOMAC	4 Months - 6 Months	December 15, 2019	May 08, 2020
I-539	Change status to the F ...ional student categories	TEXAS	7 Months - 9 Months	September 21, 2019	May 08, 2020
I-539	Change status to the F ...ional student categories	VERMONT	6 Months - 8 Months	October 14, 2019	May 08, 2020
I-539	Extension of stay as T nonimmigrant	VERMONT	8.5 Months - 11 Months	July 25, 2019	May 08, 2020
I-539	Extension of stay as U nonimmigrant	VERMONT	5.5 Months - 7.5 Months	October 28, 2019	May 08, 2020
I-539	Extension of stay for F...c or vocational students	CALIFORNIA	2.5 Months - 4.5 Months	January 25, 2020	May 08, 2020
I-539	Extension of stay for F...c or vocational students	POTOMAC	4 Months - 6 Months	December 15, 2019	May 08, 2020
I-539	Extension of stay for F...c or vocational students	TEXAS	7 Months - 9 Months	September 21, 2019	May 08, 2020
I-539	Extension of stay for F...c or vocational students	VERMONT	6 Months - 8 Months	October 14, 2019	May 08, 2020
I-539	Extension of stay for H and L dependents	NEBRASKA	5.5 Months - 7.5 Months	November 04, 2019	May 08, 2020
I-539	Extension of stay for H and L dependents	VERMONT	6 Months - 8 Months	October 14, 2019	May 08, 2020
I-539	Extension of stay for H dependents	CALIFORNIA	7 Months - 9 Months	September 24, 2019	May 08, 2020
I-539	Extension of stay for H dependents	TEXAS	7 Months - 9 Months	September 21, 2019	May 08, 2020
I-539	Extension of stay for J exchange visitors	CALIFORNIA	2.5 Months - 4.5 Months	January 25, 2020	May 08, 2020
I-539	Extension of stay for J exchange visitors	TEXAS	7 Months - 9 Months	September 21, 2019	May 08, 2020
I-539	Extension of stay for J exchange visitors	VERMONT	6 Months - 8 Months	October 14, 2019	May 08, 2020
I-539	Extension of stay for L dependents	CALIFORNIA	4 Months - 6 Months	December 17, 2019	May 08, 2020
I-539	Extension of stay for L dependents	TEXAS	7 Months - 9 Months	September 21, 2019	May 08, 2020
I-600	U.S. citizen filing to adopt an orphan	NATIONAL	2.5 Months - 4.5 Months	January 25, 2020	May 08, 2020
I-600A	U.S. citizen who plans ...opt a foreign-born child	NATIONAL	2.5 Months - 4.5 Months	January 25, 2020	May 08, 2020
I-601	Waiver of Grounds of Inadmissibility	NEBRASKA	6 Months - 7.5 Months	October 25, 2019	May 08, 2020
I-601A	Provisional Waiver of Unlawful Presence	NEBRASKA	10 Months - 12.5 Months	May 27, 2019	May 08, 2020
I-601A	Provisional Waiver of Unlawful Presence	POTOMAC	13 Months - 16.5 Months	January 30, 2019	May 08, 2020
I-612	Application for a waive... hardship or persecution	CALIFORNIA	4.5 Months - 6 Months	December 10, 2019	May 08, 2020
I-612	Application for a waive... hardship or persecution	VERMONT	4 Months - 6 Months	December 12, 2019	May 08, 2020
I-730	Petition for accompanyi...f a refugee or an asylee	NEBRASKA	11 Months - 14 Months	April 18, 2019	May 08, 2020
I-730	Petition for accompanyi...f a refugee or an asylee	TEXAS	27 Months - 35 Months	July 19, 2017	May 08, 2020
I-751	Removal of lawful perma...ful permanent residents)	CALIFORNIA	14 Months - 27.5 Months	March 05, 2018	May 08, 2020
I-751	Removal of lawful perma...ful permanent residents)	NEBRASKA	14 Months - 27.5 Months	March 05, 2018	May 08, 2020
I-751	Removal of lawful perma...ful permanent residents)	POTOMAC	12.5 Months - 18.5 Months	November 26, 2018	May 08, 2020
