I-102	142	CALIFORNIA_SERVICE_CENTER	February 19, 2019	May 08, 2020
I-102	142	NEBRASKA_SERVICE_CENTER	February 19, 2019	May 08, 2020
I-102	142	TEXAS_SERVICE_CENTER	February 19, 2019	May 08, 2020
I-102	142	VERMONT_SERVICE_CENTER	February 19, 2019	May 08, 2020
I-129	137-BL	CALIFORNIA_SERVICE_CENTER	January 24, 2020	May 08, 2020
I-129	137-BL	VERMONT_SERVICE_CENTER	January 24, 2020	May 08, 2020
I-129	137-E	CALIFORNIA_SERVICE_CENTER	January 23, 2020	May 08, 2020
I-129	137-E3	VERMONT_SERVICE_CENTER	November 22, 2019	May 08, 2020
I-129	137-H1B1	CALIFORNIA_SERVICE_CENTER	January 23, 2020	May 08, 2020
I-129	137-H1B1	TEXAS_SERVICE_CENTER	January 24, 2020	May 08, 2020
I-129	137-H1B1	VERMONT_SERVICE_CENTER	May 29, 2019	May 08, 2020
I-129	137-H1B2	CALIFORNIA_SERVICE_CENTER	January 23, 2020	May 08, 2020
I-129	137-H1B2	TEXAS_SERVICE_CENTER	January 24, 2020	May 08, 2020
I-129	137-H1B2	VERMONT_SERVICE_CENTER	May 29, 2019	May 08, 2020
I-129	137-H1B3	CALIFORNIA_SERVICE_CENTER	January 23, 2020	May 08, 2020
I-129	137-H1B3	NEBRASKA_SERVICE_CENTER	January 23, 2020	May 08, 2020
I-129	137-H1B3	TEXAS_SERVICE_CENTER	January 24, 2020	May 08, 2020
I-129	137-H1B3	VERMONT_SERVICE_CENTER	September 20, 2019	May 08, 2020
I-129	137-H2A	CALIFORNIA_SERVICE_CENTER	May 08, 2020	May 08, 2020
I-129	137-H2B	CALIFORNIA_SERVICE_CENTER	January 23, 2020	May 08, 2020
I-129	137-H2B	VERMONT_SERVICE_CENTER	February 23, 2020	May 08, 2020
I-129	137-H3	CALIFORNIA_SERVICE_CENTER	October 08, 2019	May 08, 2020
I-129	137-H3	VERMONT_SERVICE_CENTER	January 10, 2020	May 08, 2020
I-129	137-L	CALIFORNIA_SERVICE_CENTER	December 29, 2019	May 08, 2020
I-129	137-L	TEXAS_SERVICE_CENTER	February 23, 2020	May 08, 2020
I-129	137-L	VERMONT_SERVICE_CENTER	February 23, 2020	May 08, 2020
I-129	137-O	CALIFORNIA_SERVICE_CENTER	October 14, 2019	May 08, 2020
I-129	137-O	VERMONT_SERVICE_CENTER	January 31, 2020	May 08, 2020
I-129	137-P	CALIFORNIA_SERVICE_CENTER	October 14, 2019	May 08, 2020
I-129	137-P	VERMONT_SERVICE_CENTER	January 31, 2020	May 08, 2020
I-129	137-Q	CALIFORNIA_SERVICE_CENTER	January 23, 2020	May 08, 2020
I-129	137-Q	VERMONT_SERVICE_CENTER	October 18, 2019	May 08, 2020
I-129	137-R	CALIFORNIA_SERVICE_CENTER	September 07, 2019	May 08, 2020
I-129	137-R	VERMONT_SERVICE_CENTER	October 18, 2019	May 08, 2020
I-129	137-TN	VERMONT_SERVICE_CENTER	January 24, 2020	May 08, 2020
I-129CW	129-CW1	CALIFORNIA_SERVICE_CENTER	December 24, 2019	May 08, 2020
I-129F	134A-K1	CALIFORNIA_SERVICE_CENTER	October 24, 2019	May 08, 2020
I-129F	134A-K1	VERMONT_SERVICE_CENTER	July 24, 2018	May 08, 2020
I-129F	134A-K3	CALIFORNIA_SERVICE_CENTER	October 24, 2019	May 08, 2020
I-129F	134A-K3	NEBRASKA_SERVICE_CENTER	August 11, 2019	May 08, 2020
I-129F	134A-K3	POTOMAC_SERVICE_CENTER	September 15, 2018	May 08, 2020
I-129F	134A-K3	TEXAS_SERVICE_CENTER	October 26, 2019	May 08, 2020
I-130	134A-F21	CALIFORNIA_SERVICE_CENTER	July 07, 2019	May 08, 2020
I-130	134A-F21	NEBRASKA_SERVICE_CENTER	March 20, 2018	May 08, 2020
I-130	134A-F21	POTOMAC_SERVICE_CENTER	October 26, 2019	May 08, 2020
I-130	134A-F21	TEXAS_SERVICE_CENTER	October 26, 2019	May 08, 2020
I-130	134A-F21	VERMONT_SERVICE_CENTER	July 24, 2018	May 08, 2020
I-130	134A-IR	NEBRASKA_SERVICE_CENTER	January 31, 2019	May 08, 2020
I-130	134A-IR	POTOMAC_SERVICE_CENTER	August 28, 2019	May 08, 2020
I-130	134A-IR	TEXAS_SERVICE_CENTER	October 26, 2019	May 08, 2020
I-130	134A-IR	VERMONT_SERVICE_CENTER	July 15, 2018	May 08, 2020
I-130	134B-F11	CALIFORNIA_SERVICE_CENTER	April 22, 2014	May 08, 2020
I-130	134B-F11	NEBRASKA_SERVICE_CENTER	January 31, 2019	May 08, 2020
I-130	134B-F11	POTOMAC_SERVICE_CENTER	August 28, 2019	May 08, 2020
I-130	134B-F11	TEXAS_SERVICE_CENTER	October 26, 2019	May 08, 2020
I-130	134B-F11	VERMONT_SERVICE_CENTER	January 28, 2014	May 08, 2020
I-130	134B-F24	CALIFORNIA_SERVICE_CENTER	August 17, 2014	May 08, 2020
I-130	134B-F24	NEBRASKA_SERVICE_CENTER	March 20, 2018	May 08, 2020
I-130	134B-F24	POTOMAC_SERVICE_CENTER	October 26, 2019	May 08, 2020
I-130	134B-F24	TEXAS_SERVICE_CENTER	October 26, 2019	May 08, 2020
I-130	134B-F24	VERMONT_SERVICE_CENTER	April 20, 2014	May 08, 2020
I-130	134B-F31	CALIFORNIA_SERVICE_CENTER	May 29, 2010	May 08, 2020
I-130	134B-F31	NEBRASKA_SERVICE_CENTER	January 31, 2019	May 08, 2020
I-130	134B-F31	POTOMAC_SERVICE_CENTER	August 28, 2019	May 08, 2020
I-130	134B-F31	TEXAS_SERVICE_CENTER	October 26, 2019	May 08, 2020
I-130	134B-F31	VERMONT_SERVICE_CENTER	November 29, 2010	May 08, 2020
I-130	134B-F41	CALIFORNIA_SERVICE_CENTER	February 04, 2009	May 08, 2020
I-130	134B-F41	NEBRASKA_SERVICE_CENTER	January 31, 2019	May 08, 2020
I-130	134B-F41	POTOMAC_SERVICE_CENTER	August 28, 2019	May 08, 2020
I-130	134B-F41	TEXAS_SERVICE_CENTER	October 26, 2019	May 08, 2020
I-130	134B-F41	VERMONT_SERVICE_CENTER	September 09, 2009	May 08, 2020
I-131	141A-RD	NEBRASKA_SERVICE_CENTER	December 07, 2019	May 08, 2020
I-131	141A-RD	TEXAS_SERVICE_CENTER	December 25, 2019	May 08, 2020
I-131	141A-RP	NEBRASKA_SERVICE_CENTER	December 07, 2019	May 08, 2020
I-131	141A-RP	TEXAS_SERVICE_CENTER	December 25, 2019	May 08, 2020
I-131	141B-APD	NEBRASKA_SERVICE_CENTER	October 25, 2019	May 08, 2020
I-131	141B-APD	TEXAS_SERVICE_CENTER	December 25, 2019	May 08, 2020
I-131	141B-APP	NEBRASKA_SERVICE_CENTER	October 25, 2019	May 08, 2020
I-131	141B-APP	TEXAS_SERVICE_CENTER	December 25, 2019	May 08, 2020
