FormCode	Subtype	ProcessingCenter	ExpectedProcessingTime	ServiceRequestDate	UpdatedByUSCIS
I-102	Initial issuance or replacement of a Form I-94	CALIFORNIA	5 Months - 12 Months	August 07, 2019	July 23, 2020
I-102	Initial issuance or replacement of a Form I-94	NATIONAL	5 Months - 12 Months	August 07, 2019	July 23, 2020
I-102	Initial issuance or replacement of a Form I-94	NEBRASKA	5 Months - 12 Months	August 07, 2019	July 23, 2020
I-102	Initial issuance or replacement of a Form I-94	TEXAS	5 Months - 12 Months	August 07, 2019	July 23, 2020
I-102	Initial issuance or replacement of a Form I-94	VERMONT	5 Months - 12 Months	August 07, 2019	July 23, 2020
I-129	Blanket L	CALIFORNIA	1.5 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	Blanket L	VERMONT	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	E - Treaty traders and investors	CALIFORNIA	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	E3 - Certain specialty ...essionals from Australia	VERMONT	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	CALIFORNIA	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	TEXAS	4.5 Months - 6.5 Months	January 29, 2020	July 23, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	VERMONT	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	CALIFORNIA	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	TEXAS	4.5 Months - 6.5 Months	January 29, 2020	July 23, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	VERMONT	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	CALIFORNIA	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	NEBRASKA	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	TEXAS	4.5 Months - 6.5 Months	January 29, 2020	July 23, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	VERMONT	3 Months - 5 Months	March 16, 2020	July 23, 2020
I-129	H-2A - Temporary workers	CALIFORNIA	2 Weeks - 2.5 Months	July 19, 2020	July 23, 2020
I-129	H-2B - Other temporary workers	CALIFORNIA	1.5 Months - 3 Months	May 04, 2020	July 23, 2020
I-129	H-2B - Other temporary workers	VERMONT	5 Weeks - 3 Months	May 05, 2020	July 23, 2020
I-129	H-3 - Temporary trainees	CALIFORNIA	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	H-3 - Temporary trainees	VERMONT	4 Months - 6 Months	February 17, 2020	July 23, 2020
I-129	L - Intracompany transfers	CALIFORNIA	1.5 Months - 3 Months	May 04, 2020	July 23, 2020
I-129	L - Intracompany transfers	TEXAS	4.5 Months - 6.5 Months	January 29, 2020	July 23, 2020
I-129	L - Intracompany transfers	VERMONT	2 Months - 4 Months	April 13, 2020	July 23, 2020
I-129	O - Extraordinary ability	CALIFORNIA	2 Weeks - 2.5 Months	May 21, 2020	July 23, 2020
I-129	O - Extraordinary ability	VERMONT	4 Weeks - 3 Months	May 11, 2020	July 23, 2020
I-129	P - Athletes, artists, and entertainers	CALIFORNIA	2 Weeks - 2.5 Months	May 21, 2020	July 23, 2020
I-129	P - Athletes, artists, and entertainers	VERMONT	4 Weeks - 3 Months	May 11, 2020	July 23, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	CALIFORNIA	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	VERMONT	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129	R - Religious occupation	CALIFORNIA	5 Months - 7 Months	January 04, 2020	July 23, 2020
I-129	R - Religious occupation	VERMONT	2 Months - 7 Months	January 06, 2020	July 23, 2020
I-129	TN - North American Fre...ent (NAFTA) professional	VERMONT	2 Months - 4 Months	April 05, 2020	July 23, 2020
I-129CW	CW-1 - CNMI-Only Nonimmigrant Transitional Worker	CALIFORNIA	3.5 Months - 5 Months	March 04, 2020	July 23, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	CALIFORNIA	5 Months - 7 Months	January 04, 2020	July 23, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	VERMONT	14.5 Months - 19 Months	January 13, 2019	July 23, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	CALIFORNIA	5 Months - 7 Months	January 04, 2020	July 23, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	NEBRASKA	6 Months - 8 Months	December 05, 2019	July 23, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	POTOMAC	5.5 Months - 7.5 Months	December 24, 2019	July 23, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	TEXAS	5 Months - 7 Months	January 06, 2020	July 23, 2020
I-130	Permanent resident fili... son or daughter over 21	CALIFORNIA	51.5 Months - 66.5 Months	January 21, 2015	July 23, 2020
I-130	Permanent resident fili... son or daughter over 21	NEBRASKA	11.5 Months - 14.5 Months	May 23, 2019	July 23, 2020
I-130	Permanent resident fili... son or daughter over 21	POTOMAC	1 Week - 7 Months	January 06, 2020	July 23, 2020
I-130	Permanent resident fili... son or daughter over 21	TEXAS	5 Months - 7 Months	January 06, 2020	July 23, 2020
I-130	Permanent resident fili... son or daughter over 21	VERMONT	54 Months - 70 Months	October 10, 2014	July 23, 2020
I-130	Permanent resident fili...spouse or child under 21	CALIFORNIA	11.5 Months - 14.5 Months	May 23, 2019	July 23, 2020
I-130	Permanent resident fili...spouse or child under 21	NEBRASKA	11.5 Months - 14.5 Months	May 23, 2019	July 23, 2020
I-130	Permanent resident fili...spouse or child under 21	POTOMAC	1 Week - 7 Months	January 06, 2020	July 23, 2020
I-130	Permanent resident fili...spouse or child under 21	TEXAS	5 Months - 7 Months	January 06, 2020	July 23, 2020
I-130	Permanent resident fili...spouse or child under 21	VERMONT	16.5 Months - 21.5 Months	November 02, 2018	July 23, 2020
I-130	U.S. citizen filing for a brother or sister	CALIFORNIA	107.5 Months - 139.5 Months	December 21, 2008	July 23, 2020
I-130	U.S. citizen filing for a brother or sister	NEBRASKA	7 Months - 9.5 Months	November 02, 2019	July 23, 2020
I-130	U.S. citizen filing for a brother or sister	POTOMAC	10 Months - 12.5 Months	July 23, 2019	July 23, 2020
I-130	U.S. citizen filing for a brother or sister	TEXAS	4.5 Months - 7 Months	January 06, 2020	July 23, 2020
I-130	U.S. citizen filing for a brother or sister	VERMONT	100 Months - 130 Months	October 16, 2009	July 23, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	30 Months - 38.5 Months	May 24, 2017	July 23, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	94 Months - 122 Months	June 07, 2010	July 23, 2020
